country,noc_code,team_name,year,n_athletes,gold,silver,bronze,total_medals,snowfall_total,snowfall_mean_gridcell,gdp,gdp_per_capita,population,won_any_medal,log_total_medals,log_gdp,log_population,medals_per_million
CHN,CHN,China,1994,24,0,1,2,3,28.892247875818697,3.0710665360287943,566929539493.172,475.677874448369,1191835000,1,1.3862943611198906,11.753529086210687,9.07621613497673,0.0025171269512977885
CYP,CYP,Cyprus,1994,1,0,0,0,0,1.4493411084099764e-05,0.002233327882305,7425703928.57143,11617.6923828125,844667,0,0.0,9.870737629410609,5.926685527214657,0.0
CZE,CZE,Czech Republic,1994,63,0,0,0,0,0.1775019028759154,2.188371483423461,48188478339.4129,4663.28665345469,10333587,0,0.0,10.68294321268365,7.01425110021281,0.0
DEU,GER,Germany,1994,112,18,10,12,40,0.6261081274611717,1.758708373336673,2215282632276.73,27201.9593555204,81438348,1,3.713572066704308,12.345429142661903,7.9108289552952265,0.49116909886236887
DNK,DEN,Denmark,1994,4,0,0,0,0,0.1074647688803995,2.539985026959022,156017919221.457,29967.8303903163,5206180,0,0.0,11.19317448150878,6.716519179458069,0.0
ESP,ESP,Spain,1994,13,0,0,0,0,0.355362464135568,0.7072836226926433,530183651720.283,13405.704414883,39549108,0,0.0,11.724426332078453,7.597136692762988,0.0
EST,EST,Estonia,1994,26,0,0,0,0,0.22499422548883,5.067768657453162,4123011419.74174,2819.12612100926,1462514,0,0.0,9.615214537693417,6.165100032083206,0.0
FIN,FIN,Finland,1994,61,0,1,29,30,2.561884105806359,7.549293356441739,103182697780.307,20278.29109854,5088333,1,3.4339872044851463,11.013606878604008,6.706575525464674,5.895840543454998
FJI,FIJ,Fiji,1994,1,0,0,0,0,0.0,0.0,1825732092.54674,2297.18005884304,794771,0,0.0,9.261437049614035,5.900242011973572,0.0
FRA,FRA,France,1994,98,0,1,10,11,1.0040629662207452,1.5597614413697194,1385822778827.98,23359.8985104774,59324863,1,2.4849066497880004,12.141707695572936,7.7732367439662795,0.1854197286557577
GBR,GBR,Great Britain,1994,32,0,0,3,3,0.5882265343165218,2.356988927534441,1140489745944.29,19709.2380983653,57865745,1,1.3862943611198906,12.05709138492189,7.762421548875387,0.05184414371576829
GEO,GEO,Georgia,1994,5,0,0,0,0,0.8029406665478129,11.634763292150604,2513867645.13316,519.815578814965,4836076,0,0.0,9.400342408393106,6.684493117275846,0.0
GRC,GRE,Greece,1994,9,0,0,0,0,0.2205113816038858,1.6763030387271662,114980063202.247,10937.0223808611,10512922,0,0.0,11.060622543033034,7.0217234422036325,0.0
HRV,CRO,Croatia,1994,3,0,0,0,0,0.1523771390320203,2.6695477137378805,15062911616.8222,3237.92646315285,4652024,0,0.0,10.1779089278341,6.6676419466068575,0.0
HUN,HUN,Hungary,1994,16,0,0,0,0,0.0994435222211102,1.0771639236141912,43307949890.4603,4187.0311799663,10343355,0,0.0,10.636567625606228,7.014661430600622,0.0
ISL,ISL,Iceland,1994,5,0,0,0,0,2.617294216421428,24.444426551480877,6612804055.79289,24858.2031335605,266021,0,0.0,9.820385654301038,5.424915921684193,0.0
ISR,ISR,Israel,1994,1,0,0,0,0,0.0003098368294385,0.0133578626006847,90740103828.6058,16806.8353081322,5399000,0,0.0,10.957799271868115,6.732313327471243,0.0
ITA,ITA,Italy,1994,104,14,6,12,32,0.7112190609077633,2.260008643475599,1101750159702.21,19382.2002150155,56843400,1,3.4965075614664802,12.042083122134336,7.754680046684659,0.5629501402097693
JAM,JAM,Jamaica,1994,4,0,0,0,0,0.0,0.0,5452558947.03045,2202.85831038471,2475220,0,0.0,9.73660036938722,6.393613805507905,0.0
JPN,JPN,Japan,1994,59,3,5,2,10,2.3339394446260107,5.773386242159249,4998797547740.97,39933.5150564874,125178000,1,2.3978952727983707,12.698865548098981,8.097528008441893,0.07988624199140423
KAZ,KAZ,Kazakhstan,1994,29,1,2,0,3,11.203101962626368,4.115603158389028,21250792886.1054,1246.83633018218,17043771,1,1.3862943611198906,10.327375138604511,7.231565690389687,0.17601738488507032
KGZ,KGZ,Kyrgyzstan,1994,1,0,0,0,0,2.537239796860046,13.006822955944363,1681780847.41091,372.481759948941,4515069,0,0.0,9.225769402305472,6.654664391657337,0.0
KOR,KOR,South Korea,1994,21,7,1,1,9,0.1374605319928336,1.388849191455359,479181794216.859,10733.9888860657,44641540,1,2.302585092994046,11.68050030933669,7.649739168052416,0.20160594818189514
LIE,LIE,Liechtenstein,1994,10,0,0,0,0,,,1948129622.75132,63935.9902445462,30470,0,0.0,9.289617850167213,4.4838724542226736,0.0
LTU,LTU,Lithuania,1994,6,0,0,0,0,0.3145830380430996,4.959710534399153,,,3657144,0,0.0,,6.563142061014597,0.0
LUX,LUX,Luxembourg,1994,1,0,0,0,0,0.00365889473727,1.4779626965437775,17701798890.7644,43933.235442736,402925,0,0.0,10.248017402442892,5.6052242145842355,0.0
LVA,LAT,Latvia,1994,27,0,0,0,0,0.3072778152387373,4.824306946013132,,,2520742,0,0.0,,6.401528397556558,0.0
MCO,MON,Monaco,1994,5,0,0,0,0,,,2720332134.53623,86703.8130529474,31375,0,0.0,9.434621931751238,4.496583734489095,0.0
MDA,MDA,Moldova,1994,2,0,0,0,0,0.0255645916682168,0.7926399076051565,1702314267.59123,573.798647201304,2966745,0,0.0,9.231039739110251,6.472280219100066,0.0
MEX,MEX,Mexico,1994,1,0,0,0,0,0.0340554654981396,0.0172617502752855,553618247900.74,6202.36588372862,89259205,0,0.0,11.743210396535385,7.950653014415213,0.0
MNG,MGL,Mongolia,1994,1,0,0,0,0,3.1987190497669817,2.0793463401633616,925817092.217484,422.864349383041,2189395,0,0.0,8.96652519436342,6.3403241219355175,0.0
NLD,NED,Netherlands,1994,21,0,1,3,4,0.0131796374784304,0.3320114004032789,379688232231.505,24682.5866742863,15382838,1,1.6094379124341003,11.579427137155285,7.187036466417124,0.26003004127066803
NOR,NOR,Norway,1994,87,8,17,5,30,6.579631829351889,16.663391353018664,127131319428.701,29315.8092337732,4336613,1,3.4339872044851463,11.104252554326482,6.637150667372729,6.917841181585721
